region,dp,ymv.bui,ysloot.1d,xmv.bin,xsloot.1a,xsloot.1c,xsloot.1d,xsloot.1b,xweg.1,xteen.1,xberm.1a,xberm.1b,xkruin.1,xkruin.2,xberm.2a,xberm.2b,xteen.2,xweg.2,xsloot.2,xmvb.bui,ymv.bin,ysloot.1a,ysloot.1c,ysloot.1d,ysloot.1b,yweg.1,yteen.1,yberm.1a,yberm.1b,ykruin.1,ykruin.2,yberm.2a,yberm.2b,yteen.2,yweg.2,ysloot.2
Os,725.0,-0.253,-0.5,-91.13,-52.13,-50.79,-50.39,-49.13,-25.13,-14.963,-5.584,-3.404,-3.404,2.238,6.513,12.831,27.848,47.87,68.87,411.87,1.203,1.291,-0.5,-0.5,1.186,1.184,1.71,6.26,6.39,6.39,6.22,4.63,4.33,0.03,0.773,-0.071
Os,726.0,-0.583,0.0,-200.88,-97.88,-95.77,-92.82,-90.88,-18.88,-11.946,-2.953,-2.953,-2.953,-0.385,4.735,12.798,27.535,34.637,62.12,277.12,1.329,1.405,0.0,0.0,1.293,1.932,2.45,6.43,6.43,6.43,6.41,4.58,4.28,0.05,-0.7,-0.64
Os,727.0,-0.928,0.5,-51.22,-23.22,-21.81,-20.57,-19.22,-19.22,-12.06,-2.084,-2.084,-2.084,-0.067,5.481,13.022,28.897,47.78,47.78,119.78,1.342,1.724,0.5,0.5,1.674,1.674,2.08,6.51,6.51,6.51,6.43,4.53,4.27,-0.74,-0.776,-0.776
Os,728.0,-0.926,0.5,-201.0,-24.0,-22.64,-22.6,-21.0,-21.0,-13.534,-2.665,-2.665,-2.665,-0.833,5.248,10.852,27.944,33.065,42.0,77.0,1.158,1.404,0.5,0.5,1.567,1.567,1.86,6.45,6.45,6.45,6.37,4.44,4.23,0.26,-0.13,-0.929
Os,729.0,-1.034,0.5,-201.0,-23.62,-22.34,-20.45,-19.0,-19.0,-14.03,-2.764,-2.764,-2.764,-0.546,5.412,10.159,26.03,44.0,71.0,75.0,1.222,1.354,0.5,0.5,1.467,1.467,1.5,6.46,6.46,6.46,6.42,4.48,4.25,-0.76,-1.046,-0.936
Os,730.0,-1.038,0.5,-200.0,-23.68,-22.43,-22.15,-21.0,-21.0,-14.234,-2.734,-2.734,-2.734,-0.586,5.305,9.851,25.795,46.0,72.0,78.0,1.212,1.334,0.5,0.5,1.268,1.268,1.63,6.55,6.55,6.55,6.57,4.48,4.25,-0.78,-1.158,-0.944
Os,731.0,-0.91,0.5,-201.0,-24.0,-22.73,-21.47,-20.0,-20.0,-14.342,-2.661,-2.661,-2.661,-0.232,5.713,9.871,25.825,45.0,45.0,78.0,1.324,1.344,0.5,0.5,1.481,1.481,1.64,6.6,6.6,6.6,6.52,4.5,4.24,-0.75,-1.164,-1.164
Os,732.0,-1.292,0.5,-201.0,-24.0,-22.73,-20.25,-19.0,-19.0,-14.151,-2.693,-2.693,-2.693,-0.362,5.497,10.219,26.135,40.0,54.0,79.0,0.983,1.346,0.5,0.5,1.332,1.332,1.48,6.55,6.55,6.55,6.45,4.49,4.24,-0.76,-0.93,-1.145
Os,733.0,-1.331,0.5,-200.0,-24.0,-22.87,-21.15,-20.0,-20.0,-14.942,-3.017,-3.017,-3.017,-0.319,5.024,10.06,25.666,47.0,72.0,80.0,0.85,1.255,0.5,0.5,1.264,1.264,1.41,6.47,6.47,6.47,6.34,4.53,4.29,-0.5,-0.85,-1.128
Os,734.0,-0.722,0.5,-200.41,-23.41,-22.12,-18.36,-17.41,-17.41,-15.131,-3.067,-3.067,-3.067,-0.617,5.175,10.196,25.516,45.59,92.59,117.59,0.754,1.357,0.5,0.5,1.131,1.131,1.21,6.22,6.22,6.22,6.09,4.58,4.3,-0.42,0.049,-0.339
Os,735.0,-1.027,0.5,-200.11,-23.11,-22.35,-20.42,-20.11,-20.11,-14.81,-3.236,-3.236,-3.236,-0.351,4.685,9.303,24.435,36.89,58.89,152.89,0.732,1.009,0.5,0.5,0.704,0.704,1.12,6.18,6.18,6.18,6.03,4.54,4.31,-0.42,-0.451,-0.913
Os,736.0,-0.632,0.5,-200.3,-23.3,-22.61,-19.0,-18.3,-18.3,-14.378,-2.934,-2.934,-2.934,-0.415,4.819,10.711,26.251,57.7,57.7,87.7,0.563,0.958,0.5,0.5,0.964,0.964,1.35,6.18,6.18,6.18,6.16,4.54,4.28,-0.43,-0.517,-0.517
Os,737.0,-0.647,0.1,-200.74,-26.74,-25.58,-19.33,-17.74,-17.74,-14.462,-2.615,-2.615,-2.615,-0.14,4.884,11.267,26.729,44.26,274.26,274.26,0.748,0.872,0.1,0.1,1.163,1.163,1.3,6.16,6.16,6.16,6.12,4.53,4.29,-0.43,-0.152,-0.647
Os,738.0,1.0049,0.21,-20.48,-20.48,-19.92,-19.92,-18.48,-18.48,-14.671,-2.703,-2.703,-2.703,-0.026,4.757,10.485,26.118,45.52,399.52,528.52,0.58,0.58,0.21,0.21,1.1702,1.1702,1.37,6.23,6.23,6.23,6.1,4.53,4.29,-0.5,0.2732,-0.5696
Os,739.0,-0.618,0.1,-132.69,-23.68,-22.33,-20.59,-18.69,-18.69,-14.07,-2.526,-2.526,-2.526,-0.015,4.703,11.388,26.475,45.31,451.31,464.31,0.528,0.999,0.1,0.1,1.369,1.369,1.57,6.27,6.27,6.27,6.1,4.55,4.3,-0.37,1.244,0.101
Os,740.0,0.649,0.1,-200.44,-22.44,-21.31,-20.57,-18.44,-18.44,-14.019,-3.712,-0.229,-0.229,5.008,11.504,15.897,28.402,64.56,475.56,479.56,0.731,0.855,0.1,0.1,1.517,1.517,1.81,6.01,6.16,6.16,6.04,4.61,4.29,0.84,1.509,1.229
Os,741.0,0.493,-1.1,-200.04,-28.04,-26.04,-25.72,-23.04,-23.04,-19.798,-12.539,-9.112,-3.282,0.078,5.424,5.895,21.509,54.96,460.96,507.96,0.808,0.808,-1.1,-1.1,1.45,1.45,1.54,3.86,4.01,5.95,5.98,4.22,4.2,1.07,1.324,1.155
Os,742.0,-0.248,-1.1,-200.58,-23.58,-20.97,-20.74,-17.58,-17.58,-14.175,-2.642,-2.642,-2.642,-0.057,5.632,9.192,17.624,28.42,246.42,253.42,0.905,0.905,-1.1,-1.1,1.327,1.327,1.39,5.76,5.76,5.76,5.73,3.94,3.82,1.03,1.615,1.562
Os,743.0,-0.081,-1.1,-200.37,-25.37,-22.07,-17.77,-14.13,-14.13,-14.125,-2.92,-2.92,-2.92,0.278,6.294,9.557,18.118,39.63,179.63,185.63,1.092,1.102,-1.1,-1.1,1.33,1.33,1.28,5.73,5.73,5.73,5.79,3.96,3.85,1.04,1.729,1.787
Os,744.0,-0.18,-1.1,-200.52,-22.91,-20.88,-20.56,-18.52,-18.52,-13.953,-2.891,-2.891,-2.891,0.337,6.514,9.43,18.556,37.48,135.48,476.48,1.154,1.154,-1.1,-1.1,1.167,1.167,1.35,5.63,5.63,5.63,5.75,3.91,3.82,1.03,1.805,0.647
Os,745.0,0.142,-1.1,-200.52,-22.85,-20.22,-20.02,-17.52,-14.23,-14.23,-3.367,-3.367,-3.367,0.25,5.181,9.255,18.068,31.48,310.48,328.48,1.115,1.203,-1.1,-1.1,1.097,1.305,1.28,5.65,5.65,5.65,5.75,4.04,3.83,1.05,1.599,1.166
Os,746.0,0.78,-1.1,-200.4,-23.4,-21.57,-21.2,-19.4,-19.4,-14.458,-3.57,-3.57,-3.57,-0.176,5.543,8.92,17.533,25.6,557.6,662.6,1.057,1.057,-1.1,-1.1,1.023,1.023,1.34,5.64,5.64,5.64,5.83,3.94,3.81,1.1,1.757,1.623
Os,747.0,-0.089,-0.28,-200.66,-26.66,-24.52,-19.87,-17.66,-17.66,-14.546,-3.544,-3.544,-3.544,-0.252,5.335,8.988,17.451,34.34,497.34,596.34,1.14,1.149,-0.28,-0.28,1.19,1.19,1.26,5.75,5.75,5.75,5.79,3.98,3.79,1.13,1.727,1.439
Os,748.0,0.11,-0.4,-200.89,-23.78,-21.48,-19.5,-16.89,-16.89,-14.485,-3.705,-3.705,-3.705,0.185,5.528,9.139,17.591,35.11,314.11,336.11,1.062,1.133,-0.4,-0.4,1.343,1.343,1.36,5.69,5.69,5.69,5.83,3.95,3.77,1.14,1.793,1.221
Os,749.0,0.665,-0.4,-200.35,-23.34,-21.49,-21.28,-19.35,-19.35,-14.331,-3.771,-3.771,-3.771,0.121,5.719,9.621,18.141,52.65,559.65,681.65,1.02,1.02,-0.4,-0.4,1.082,1.082,1.41,5.7,5.7,5.7,5.78,4.0,3.74,1.06,1.78,1.707
Os,750.0,0.592,-0.36,-200.82,-23.82,-21.88,-20.15,-17.82,-17.82,-14.563,-3.048,-3.048,-3.048,0.139,5.531,9.63,18.344,51.18,619.18,672.18,0.935,0.935,-0.36,-0.36,1.194,1.194,1.28,5.61,5.61,5.61,5.68,4.0,3.77,1.0,1.988,0.918
Os,751.0,0.631,-0.32,-200.87,-35.87,-33.95,-20.1,-17.87,-17.87,-14.643,-3.189,-3.189,-3.189,0.286,5.058,9.617,21.71,49.13,647.13,656.13,0.958,0.958,-0.32,-0.32,1.164,1.164,1.26,5.66,5.66,5.66,5.83,4.14,3.95,0.97,1.718,1.692
Os,752.0,0.491,-0.28,-166.08,-31.08,-29.32,-29.18,-27.08,-27.08,-21.978,-13.88,-7.439,-7.439,3.912,17.421,20.955,29.805,41.92,637.92,682.92,1.03,1.072,-0.28,-0.28,1.335,1.335,1.73,5.28,5.4,5.4,5.66,3.95,3.81,1.13,1.44,1.603
Os,753.0,0.513,-0.06,-176.01,-21.98,-20.39,-20.39,-18.01,-18.01,-13.301,-3.656,-3.656,-3.656,0.005,6.313,9.233,18.124,29.99,645.99,675.99,0.821,1.006,-0.06,-0.06,1.527,1.527,1.73,5.55,5.55,5.55,5.63,3.98,3.78,0.99,1.604,0.989
Os,754.0,0.481,-0.49,-174.8,-22.99,-21.15,-20.84,-17.8,-17.8,-12.926,-3.316,-3.316,-3.316,0.053,6.421,9.397,18.011,41.2,672.2,680.2,0.739,0.739,-0.49,-0.49,1.535,1.535,1.72,5.68,5.68,5.68,5.67,3.97,3.88,1.05,1.33,0.614
Os,755.0,0.372,-0.49,-200.45,-25.45,-23.38,-22.42,-19.45,-19.45,-13.669,-3.953,-3.953,-3.953,-0.585,5.498,8.416,17.14,35.55,641.55,657.55,0.891,0.891,-0.49,-0.49,1.487,1.487,1.7,5.64,5.64,5.64,5.64,4.02,3.86,1.12,1.539,0.774
Os,756.0,0.412,-0.33,-200.44,-23.44,-21.57,-21.36,-18.44,-18.44,-13.001,-3.91,-3.91,-3.91,-0.452,5.724,8.666,19.754,28.56,475.56,513.56,0.958,0.958,-0.33,-0.33,1.684,1.684,1.74,5.4,5.4,5.4,5.46,4.36,4.28,1.11,1.434,1.632
Os,757.0,0.254,1.05,-200.76,-23.76,-23.76,-23.76,-23.76,-23.76,-12.708,-2.841,-2.841,-2.841,-0.022,5.487,8.321,19.558,33.24,419.24,620.24,0.813,1.054,1.05,1.05,1.054,1.054,1.74,5.59,5.59,5.59,5.52,4.39,4.29,1.17,1.558,1.457
Os,758.0,0.243,-0.22,-200.03,-23.03,-21.15,-20.79,-18.03,-18.03,-12.872,-3.668,-3.668,-3.668,-0.176,4.903,8.016,18.966,24.97,565.97,625.97,0.87,1.031,-0.22,-0.22,1.621,1.621,1.68,5.37,5.37,5.37,5.42,4.36,4.32,1.08,0.967,0.902
Os,759.0,0.489,-0.16,-200.5,-23.28,-21.55,-20.89,-18.5,-18.5,-13.226,-3.811,-3.811,-3.811,-0.653,4.481,7.459,18.748,40.5,499.5,549.5,0.901,0.996,-0.16,-0.16,1.431,1.431,1.75,5.53,5.53,5.53,5.54,4.38,4.27,1.12,1.326,1.39
Os,760.0,0.131,-0.18,-196.32,-23.21,-21.67,-20.95,-18.32,-18.32,-13.563,-3.764,-3.764,-3.764,-0.228,4.055,6.907,18.315,39.68,549.68,669.68,0.595,0.844,-0.18,-0.18,1.574,1.574,1.68,5.59,5.59,5.59,5.63,4.37,4.28,1.18,1.252,1.322
Os,761.0,0.079,-0.07,-172.32,-22.32,-21.1,-20.49,-18.32,-18.32,-13.119,-3.777,-3.777,-3.777,-0.322,3.735,6.36,17.838,23.68,523.68,686.68,0.741,0.741,-0.07,-0.07,1.374,1.374,1.69,5.52,5.52,5.52,5.58,4.35,4.28,1.15,0.911,0.8
Os,762.0,-0.397,-0.05,-162.19,-24.19,-23.07,-22.56,-20.19,-20.19,-12.971,-4.206,-4.206,-4.206,-0.552,2.978,5.845,16.945,26.81,602.81,705.81,0.695,0.695,-0.05,-0.05,1.528,1.528,1.72,5.46,5.46,5.46,5.52,4.41,4.25,1.18,1.342,0.308
Os,763.0,-0.922,-0.05,-126.4,-24.0,-22.38,-21.95,-19.4,-19.4,-13.3,-4.456,-4.456,-4.456,-1.335,3.405,6.136,17.5,20.6,557.6,720.6,0.841,1.032,-0.05,-0.05,1.651,1.651,1.88,5.46,5.46,5.46,5.52,4.39,4.32,1.14,1.036,0.517
Os,764.0,-1.3,-0.05,-132.86,-24.73,-23.42,-23.01,-21.86,-19.86,-12.98,-4.195,-4.195,-4.195,-0.777,4.403,7.797,18.265,24.29,568.14,722.14,0.786,0.821,-0.05,-0.05,0.717,1.63,1.79,5.64,5.64,5.64,5.7,4.31,4.24,1.19,1.03,0.631
Os,765.0,-1.282,0.12,-115.46,-23.46,-22.34,-21.26,-19.46,-13.46,-12.915,-4.106,-4.106,-4.106,-0.594,4.242,7.986,18.408,20.54,565.54,690.54,0.723,0.869,0.12,0.12,1.318,1.728,1.69,5.49,5.49,5.49,5.58,4.24,4.15,1.14,1.321,0.73
Os,766.0,-1.303,0.12,-94.38,-23.38,-22.22,-21.09,-19.38,-19.38,-13.685,-2.97,-2.97,-2.97,-0.692,4.091,7.167,18.273,32.62,506.62,652.62,0.811,0.894,0.12,0.12,1.26,1.26,1.57,5.69,5.69,5.69,5.67,4.26,4.12,1.12,1.455,0.733
Os,767.0,-1.31,0.12,-75.08,-22.83,-22.01,-20.24,-18.08,-18.08,-13.363,-3.465,-3.465,-3.465,-0.929,3.261,6.37,17.246,33.92,567.92,628.92,0.667,0.667,0.12,0.12,1.559,1.559,1.57,5.68,5.68,5.68,5.71,4.29,4.19,1.22,1.229,-0.316
Os,768.0,-1.307,0.0,-200.67,-20.67,-20.21,-19.96,-18.67,-18.67,-13.608,-3.602,-3.602,-3.602,0.568,4.542,7.523,18.523,31.33,41.33,608.33,0.506,0.506,0.0,0.0,1.432,1.432,1.68,5.44,5.44,5.44,5.53,4.29,4.21,1.13,0.357,-0.805
Os,769.0,-1.339,0.0,-200.86,-22.53,-21.73,-20.0,-17.86,-17.86,-12.958,-3.636,-3.636,-3.636,0.08,4.288,7.38,18.289,36.14,42.14,599.14,0.532,0.532,0.0,0.0,1.425,1.425,1.63,5.25,5.25,5.25,5.32,4.32,4.2,1.09,0.123,-0.852
Os,770.0,-1.301,0.0,-198.65,-22.45,-21.53,-19.66,-17.65,-17.65,-12.951,-3.061,-3.061,-3.061,0.292,4.735,7.877,18.921,36.35,39.35,495.35,0.611,0.611,0.0,0.0,1.34,1.34,1.61,5.29,5.29,5.29,5.4,4.32,4.18,1.04,0.41,-0.689
